#tid,algorithm,succeed,complete_time,seed,value_size,d,estimated_d
0,DDigest,1,1599436.266,2614455935,40,10000,11994
0,PinSketch,1,101482745.971,2614455935,40,10000,11994
0,PBS,1,1243410.126,2614455935,40,10000,11994
1,DDigest,1,1480771.382,2223992100,40,10000,16190
1,PinSketch,1,134430383.415,2223992100,40,10000,16190
1,PBS,1,1248375.015,2223992100,40,10000,16190
2,DDigest,1,1470108.808,4217253813,40,10000,13290
2,PinSketch,1,111825949.542,4217253813,40,10000,13290
2,PBS,1,1230388.924,4217253813,40,10000,13290
3,DDigest,1,1521300.794,1063094462,40,10000,17822
3,PinSketch,1,147373930.302,1063094462,40,10000,17822
3,PBS,1,1274160.277,1063094462,40,10000,17822
4,DDigest,1,1497354.084,3612915116,40,10000,18555
4,PinSketch,1,153397185.87,3612915116,40,10000,18555
4,PBS,1,1248236.612,3612915116,40,10000,18555
5,DDigest,1,1530892.723,1061150237,40,10000,17336
5,PinSketch,1,143442375.847,1061150237,40,10000,17336
5,PBS,1,1232908.296,1061150237,40,10000,17336
6,DDigest,1,1490344.358,1655777442,40,10000,12162
6,PinSketch,1,102919009.802,1655777442,40,10000,12162
6,PBS,1,1220186.436,1655777442,40,10000,12162
7,DDigest,1,1638072.599,3537882741,40,10000,13100
7,PinSketch,1,110525319.473,3537882741,40,10000,13100
7,PBS,1,1255653.787,3537882741,40,10000,13100
8,DDigest,1,1719458.314,3887478591,40,10000,12722
8,PinSketch,1,108859367.771,3887478591,40,10000,12722
8,PBS,1,1230444.981,3887478591,40,10000,12722
9,DDigest,1,1487151.141,3555333526,40,10000,12691
9,PinSketch,1,108527303.106,3555333526,40,10000,12691
9,PBS,1,1256278.66,3555333526,40,10000,12691
10,DDigest,1,1598596.405,2346006061,40,10000,13578
10,PinSketch,1,114405921.805,2346006061,40,10000,13578
10,PBS,1,1213575.582,2346006061,40,10000,13578
11,DDigest,1,1456306.741,3004538427,40,10000,12680
11,PinSketch,1,107912700.523,3004538427,40,10000,12680
11,PBS,1,1287848.891,3004538427,40,10000,12680
12,DDigest,1,1509973.555,193896213,40,10000,12396
12,PinSketch,1,105470929.129,193896213,40,10000,12396
12,PBS,1,1334446.208,193896213,40,10000,12396
13,DDigest,1,1611859.707,4056500539,40,10000,12094
13,PinSketch,1,103105441.871,4056500539,40,10000,12094
13,PBS,1,1209989.122,4056500539,40,10000,12094
14,DDigest,1,1544987.28,2137641007,40,10000,13873
14,PinSketch,1,117038996.15,2137641007,40,10000,13873
14,PBS,1,1265519.577,2137641007,40,10000,13873
15,DDigest,1,1502729.644,1599519745,40,10000,11847
15,PinSketch,1,101018100.728,1599519745,40,10000,11847
15,PBS,1,1252491.803,1599519745,40,10000,11847
16,DDigest,1,1560650.876,1887119040,40,10000,15556
16,PinSketch,1,132889906.465,1887119040,40,10000,15556
16,PBS,1,1318485.376,1887119040,40,10000,15556
17,DDigest,1,1491710.305,160760229,40,10000,13026
17,PinSketch,1,111856471.904,160760229,40,10000,13026
17,PBS,1,1222234.705,160760229,40,10000,13026
18,DDigest,1,1783863.048,313067961,40,10000,18906
18,PinSketch,1,160513779.495,313067961,40,10000,18906
18,PBS,1,1269875.966,313067961,40,10000,18906
19,DDigest,1,1810656.607,826920367,40,10000,15232
19,PinSketch,1,129305137.839,826920367,40,10000,15232
19,PBS,1,1265359.508,826920367,40,10000,15232
